trait,ME1 PACIFIC,ME2 MID ALTITUDE,ME3 TROPIC,ME5 NORTE
0_0,14,100,351,14
ACHDT,0,54,0,71
ADF,0,74,0,71
AREA_SUB,0,0,1,89
ASH,0,74,0,71
ASI50D,402,440,557,221
BARN,415,0,715,0
BARP,0,0,715,0
BFACR,0,54,0,71
BFTON,0,74,0,71
BRSCR,1,20,0,0
CMNTS,0,0,185,0
CMNTS_ERLSTG,0,0,15,0
CMNTS_HARVCOM,0,23,0,0
CP,0,74,0,71
CSDPE_ERWIZE,0,0,380,0
CSDPE_FUSASP,0,0,445,0
CSDPE_GIBBZE,0,405,92,11
CSDPE_ZZXXFF,0,20,118,71
CSDPF_ERWIZE,0,0,405,0
CSDPF_FUSASP,0,0,469,0
CSDPF_GIBBZE,0,405,84,11
CSDPF_ZZXXFF,0,20,102,71
DAEAR,0,0,118,0
DOPLN,415,942,1072,212
DOPLP,0,942,1072,212
DSSFP,0,0,126,0
DST,0,74,0,71
EABP,0,34,741,0
ECBGL,0,0,78,0
EDIC_DIPDMA,0,76,773,0
EDIC_ERMX,0,0,18,0
EDIC_FUSASP,0,29,789,0
EDIC_GIBBZE,0,17,757,0
EDIC_USTIMA,0,407,777,82
EDIC_ZZXXFF,0,46,789,11
EDM,0,34,0,0
EDP_DIPDMA,0,858,454,60
EDP_ERMX,0,0,72,0
EDP_ERTCPX,0,0,0,90
EDP_FUSASP,0,905,454,60
EDP_GIBBZE,0,888,454,150
EDP_USTIMA,0,623,555,60
EDP_ZZXXFF,0,0,251,60
EHT,374,451,689,219
EHT_SUB,0,0,0,267
EMERG,876,1019,1146,221
EROTP_DIPDMA,0,135,696,0
EROTP_FUSASP,0,122,703,22
EROTP_GIBBZE,0,122,692,11
EROTP_USTIMA,0,358,684,22
EROTP_ZZXXFF,0,105,712,22
ERPOP,0,984,1146,225
ERSC,517,1016,1220,225
ERSP,0,0,195,0
ESCCA,0,984,1145,225
EVG,0,0,140,90
EXCLAY,0,0,0,90
EXSAND,0,0,0,90
FAT,0,74,0,71
FNSC,0,976,1072,221
FNSC_SUB,0,0,0,270
GQU,0,681,944,150
GSPC,415,54,676,131
GSPP,0,54,765,131
HAARE,0,0,0,60
HCEL,0,74,0,71
HLWT,0,429,0,0
HSC,0,996,995,221
HVPOP,0,948,1031,220
HZ9,0,0,118,0
INDF240,0,74,0,71
KRAT,0,0,0,90
KST,0,0,560,0
LDICE_SPIRKU,0,446,1136,0
LDICE_ZZXXVV,0,0,36,0
LDSR_CERCZM,0,683,1099,90
LDSR_COCHHE,0,0,248,0
LDSR_CURVSP,0,0,841,90
LDSR_DIPDMA,0,0,246,90
LDSR_DIPDMC,0,0,173,0
LDSR_MP,0,0,173,0
LDSR_MYCOZM,0,0,173,0
LDSR_PHLLZE,0,0,120,0
LDSR_PHSPMA,0,0,173,90
LDSR_PHYDMA,0,0,165,90
LDSR_PHYRMA,0,446,933,0
LDSR_PUCCPY,0,0,75,90
LDSR_PUCCSO,55,922,1115,90
LDSR_SETOTU,14,0,320,90
LDSR_SETOTU_R3_20,0,0,101,0
LDSR_SETOTU_R3_21,0,0,6,0
LDSR_SPIRKU,0,0,9,0
LDSR_TARSC,0,446,936,90
LDSR_ZZXXFF,0,0,0,90
LFDPE_SPIRKU,0,446,1042,0
LIGP,0,74,0,71
MATDR6,0,0,72,0
MEE,0,0,0,71
MEYLD,0,0,0,71
MISC,0,20,0,71
MKYLD,0,54,0,71
MLP,0,54,0,71
MPT,0,74,0,71
MST,0,894,1386,172
MST_BE,0,0,702,150
NDF,0,74,0,71
NDF30,0,74,0,71
NEG,0,74,0,71
NEL,0,74,0,71
NEM,0,74,0,71
NEYLD,0,54,0,71
NFC,0,74,0,71
NOHAS_DIATSA,0,0,64,0
NOHAS_SPODSP,0,0,64,0
NOIN_DIATSA,0,0,64,0
NOOUT_DIATSA,0,0,64,0
NRAT,0,0,0,90
P50D,402,440,557,221
PCTRG,345,0,204,0
PHCC,0,0,366,0
PHCP,0,0,366,0
PHT,374,451,688,220
PHT_SUB,0,0,0,267
PHTAE,374,451,688,218
PKSTP_Level 1,0,233,152,60
PKSTP_Level 2,2,216,152,0
PKSTP_Level 3,12,182,152,0
PKSTP_Level 4,0,17,152,0
PKSTP_Level 5,0,17,152,0
PKSTP_Level 6,0,17,152,0
PKSTP_Level 7,0,17,152,0
PKSTP_Level 8,0,17,152,0
PKSTP_Level 9,0,17,152,0
PLDEN,448,973,1167,221
PRAT,0,0,0,90
PSM,0,54,0,0
RDR,0,0,126,0
ROTGR,0,841,158,0
RTLC,14,996,1072,221
RTLC_SUB,0,0,0,270
RTLP,0,976,1072,221
S50D,402,440,557,221
SDIC_ERWIZE,0,0,433,0
SDIC_FUSASP,0,0,533,0
SDIC_GIBBZE,0,405,100,11
SDIC_ZZXXFF,0,20,145,80
SDM,0,74,0,71
SDM_BE,0,0,0,71
SDP_ERWIZE,0,0,136,0
SDP_FUSASP,0,85,144,90
SDP_GIBBZE,0,631,359,60
SDP_ZZXXFF,0,0,144,0
SELTM,0,0,701,150
SF9,0,0,118,0
SF9_SUB,0,0,5,0
SHW,0,922,1435,150
SLGPW,0,54,0,71
SMUTN,0,0,136,51
SMUTN_SPHTRE,0,662,209,0
SMUTP,0,0,180,60
SMUTP_PHSPMA,0,0,0,90
SMUTP_SPHTRE,0,449,714,0
SMUTPC,0,0,80,51
SMUTPC_SPHTRE,0,662,140,0
SRAT,0,0,0,90
STAS,0,74,0,71
STAS_BE,0,0,0,71
STGR,0,944,1002,221
STLC,14,996,1072,221
STLC_SUB,0,0,0,270
STLP,0,976,1072,221
STYLD,0,54,0,71
STYLD_BE,0,0,0,71
SWS,0,74,0,71
SYDCK,0,0,0,71
SYDME,0,0,0,71
SYLD,0,54,0,71
SYLD_BE,0,0,0,71
SYLD100,0,0,0,71
SYLD65,0,54,0,71
SYLD70,0,54,0,71
SYLDFR,0,54,0,71
SYLDFRTM,0,0,0,71
SYLDTM,0,0,0,71
TDN,0,74,0,71
TDPP,0,976,1072,221
TEARC,0,855,903,150
TEARC_SUB,0,0,0,270
TEARP,0,855,903,150
TGSPP,0,54,765,131
UDPLT,0,0,0,9
UNDPL,0,0,0,9
YLD,0,884,1003,171
YLD_BE,0,0,704,150
YLDP,0,922,1063,150
YLDTM,0,0,704,150
YM,0,922,1432,150
YM_BE,0,0,701,150
